School,Number of Applicants,Accept Rate,SAT_25th percentile,SAT_75th percentile,ACT_25th percentile,ACT_75th percentile
Georgia Institute of Technology,36856,0.20600000000000002,1300.0,1510.0,29.0,34.0
Washington and Lee University,5855,0.212,1348.0,1490.0,31.0,34.0
Wellesley College,6395,0.21600000000000003,1360.0,1530.0,31.0,34.0
Boston University,64481,0.221,1330.0,1500.0,30.0,33.0
Colgate University,9951,0.226,1330.0,1500.0,31.0,34.0
University of North Carolina—​Chapel Hill,42466,0.226,1300.0,1490.0,27.0,33.0
University of Michigan—​Ann Arbor,64972,0.22899999999999998,1340.0,1530.0,31.0,34.0
Vassar College,8961,0.237,1370.0,1530.0,31.0,34.0
Rhode Island School of Design,3913,0.239,1180.0,1440.0,26.0,32.0
University of Virginia,40839,0.239,1340.0,1500.0,30.0,34.0
Grinnell College,7349,0.244,1370.0,1530.0,30.0,34.0
Babson College,6362,0.24,1270.0,1450.0,28.0,32.0
University of California—​Irvine,95568,0.265,1180.0,1440.0,,
University of Miami,38919,0.271,1280.0,1420.0,29.0,32.0
Boston College,35552,0.272,1370.0,1490.0,31.0,34.0
Villanova University,22909,0.282,1320.0,1470.0,31.0,34.0
University of Richmond,12356,0.28300000000000003,1290.0,1460.0,30.0,33.0
California State Polytechnic University—​San Luis Obispo,54072,0.284,1250.0,1420.0,26.0,32.0
Trinity University,9864,0.28800000000000003,1290.0,1450.0,29.0,32.0
Case Western Reserve University,26642,0.293,1350.0,1520.0,30.0,34.0
University of Rochester,20216,0.295,1300.0,1500.0,29.0,33.0
University of California—​Santa Barbara,93457,0.29600000000000004,1260.0,1460.0,25.0,33.0
Wake Forest University,12559,0.29600000000000004,1320.0,1490.0,30.0,33.0
Skidmore College,11102,0.3,1220.0,1400.0,28.0,32.0
University of California—​San Diego,97901,0.302,1250.0,1470.0,26.0,33.0
Franklin and Marshall College,9502,0.304,1250.0,1460.0,28.0,32.0
Brandeis University,11798,0.311,1280.0,1500.0,29.0,33.0
Lafayette College,8521,0.315,1250.0,1440.0,28.0,33.0
American University,18984,0.315,1220.0,1380.0,27.0,31.0
University of Texas—​Austin,53525,0.318,1240.0,1470.0,27.0,33.0
Scripps College,3022,0.32,1333.0,1490.0,30.0,33.0
Lehigh University,15649,0.321,1280.0,1450.0,29.0,33.0
Macalester College,6598,0.32299999999999995,1320.0,1510.0,29.0,33.0
Smith College,5597,0.325,1340.0,1520.0,30.0,33.0
Bryn Mawr College,3332,0.331,1290.0,1510.0,29.0,33.0
Trinity College (Hartford),6096,0.335,1300.0,1460.0,29.0,32.0
Denison University,8042,0.33899999999999997,1210.0,1380.0,28.0,31.0
San Diego State University,69842,0.34,1110.0,1320.0,22.0,29.0
Kenyon College,6662,0.341,1270.0,1460.0,29.0,33.0
College of the Holy Cross,7200,0.342,1260.0,1430.0,28.0,32.0
Bucknell University,9845,0.342,1255.0,1430.0,28.0,32.0
Emerson College,12941,0.35600000000000004,1200.0,1390.0,27.0,31.0
Pepperdine University,11265,0.35700000000000004,1220.0,1420.0,26.0,32.0
Hampton University,13028,0.36,1040.0,1310.0,19.0,24.0
Oberlin College,7708,0.364,1280.0,1480.0,29.0,33.0
CUNY--Hunter,31030,0.364,1090.0,1260.0,,
Occidental College,7501,0.36700000000000005,1300.0,1480.0,28.0,32.0
Connecticut College,6784,0.374,1310.0,1450.0,30.0,33.0
College of William and Mary,14680,0.377,1320.0,1510.0,30.0,34.0
Mount Holyoke College,3908,0.382,1270.0,1490.0,27.0,32.0
Berea College,1576,0.382,1030.0,1213.0,22.0,27.0
Pratt Institute,7941,0.385,1100.0,1320.0,26.0,30.0
Soka University of America,464,0.38799999999999996,1180.0,1410.0,27.0,30.0
California State University--Los Angeles,39854,0.39,890.0,1080.0,15.0,20.0
California State University--Long Beach,71297,0.39299999999999996,1040.0,1250.0,20.0,26.0
Reed College,5815,0.395,1325.0,1520.0,30.0,34.0
Binghamton University—​SUNY,38755,0.39799999999999996,1310.0,1440.0,28.0,32.0
Dickinson College,6426,0.401,1240.0,1410.0,28.0,32.0
University of Tulsa,8526,0.408,1180.0,1410.0,25.0,32.0
George Washington University,26968,0.409,1280.0,1470.0,29.0,33.0
University of California—​Davis,76647,0.41200000000000003,1150.0,1410.0,25.0,31.0
Stevens Institute of Technology,9265,0.414,1330.0,1480.0,30.0,33.0
St. Lawrence University,6998,0.424,1160.0,1350.0,24.0,30.0
Union College (Schenectady NY),6086,0.429,1220.0,1420.0,27.0,32.0
Rensselaer Polytechnic Institute,20402,0.43,1330.0,1500.0,29.0,33.0
Bentley University,9252,0.43200000000000005,1240.0,1410.0,28.0,32.0
CUNY--Baruch College,20303,0.434,1130.0,1330.0,,
Spelman College,9106,0.434,1080.0,1230.0,22.0,26.0
Loyola Marymount University,18592,0.43799999999999994,1230.0,1410.0,27.0,31.0
University of Maryland—​College Park,32987,0.441,1280.0,1480.0,29.0,33.0
Stony Brook University—​SUNY,37079,0.441,1230.0,1440.0,26.0,32.0
Rhodes College,5207,0.447,1220.0,1430.0,27.0,32.0
North Carolina State University—​Raleigh,30995,0.449,1250.0,1390.0,27.0,31.0
Baylor University,34582,0.45299999999999996,1200.0,1380.0,26.0,32.0
University of Dallas,4676,0.45299999999999996,1150.0,1360.0,24.0,30.0
Gettysburg College,6269,0.45399999999999996,1270.0,1420.0,26.0,30.0
Fordham University,46308,0.46,1250.0,1430.0,28.0,32.0
Texas Christian University,19028,0.47100000000000003,1150.0,1350.0,25.0,31.0
Southern Methodist University,13959,0.473,1300.0,1480.0,29.0,33.0
Providence College,11478,0.475,1210.0,1350.0,27.0,31.0
St. Olaf College,5694,0.475,1190.0,1430.0,26.0,32.0
University of New Mexico,12281,0.486,1040.0,1270.0,19.0,25.0
University of Georgia,26027,0.486,1240.0,1410.0,27.0,32.0
University of San Diego,13755,0.48700000000000004,1200.0,1350.0,26.0,31.0
University of Connecticut,34886,0.488,1210.0,1420.0,26.0,31.0
Santa Clara University,16300,0.488,1280.0,1440.0,28.0,32.0
Southwestern University,4766,0.49,1140.0,1320.0,23.0,29.0
Pennsylvania State University—​University Park,71903,0.491,1160.0,1370.0,25.0,30.0
Marist College,11260,0.49200000000000005,1210.0,1360.0,26.0,31.0
The College of New Jersey,13824,0.493,1160.0,1360.0,25.0,30.0
Worcester Polytechnic Institute,10645,0.494,1310.0,1470.0,29.0,33.0
Syracuse University,34981,0.499,1180.0,1370.0,25.0,30.0
University of La Verne,7276,0.509,1020.0,1205.0,20.0,26.0
Clemson University,29070,0.513,1230.0,1400.0,27.0,32.0
Austin College,4360,0.513,1110.0,1290.0,24.0,29.0
University of California—​Santa Cruz,55906,0.515,1200.0,1360.0,24.0,30.0
University of Washington--Seattle,45579,0.518,1240.0,1440.0,27.0,33.0
California State University--Fullerton,50105,0.527,1030.0,1200.0,19.0,24.0
University of Wisconsin—​Madison,43921,0.53,1330.0,1450.0,27.0,32.0
Colorado School of Mines,11756,0.531,1260.0,1460.0,27.0,33.0
Chapman University,14198,0.536,1190.0,1370.0,25.0,30.0
Ohio State University—​Columbus,47703,0.537,1250.0,1460.0,28.0,32.0
Texas Lutheran University,2198,0.5429999999999999,990.0,1160.0,19.0,25.0
University at Albany—​SUNY,27529,0.5429999999999999,1090.0,1250.0,22.0,28.0
Georgia Southern,13858,0.545,1050.0,1200.0,20.0,25.0
College of Wooster,6352,0.547,1150.0,1380.0,24.0,31.0
San Jose State University,36243,0.547,1040.0,1260.0,19.0,26.0
California State Polytechnic University--Pomona,36660,0.555,1030.0,1250.0,19.0,27.0
Whitman College,4832,0.5579999999999999,1240.0,1450.0,28.0,33.0
Sarah Lawrence College,3325,0.5579999999999999,1240.0,1420.0,27.0,32.0
New School,9911,0.5660000000000001,1150.0,1360.0,24.0,30.0
University of Pittsburgh,32091,0.5670000000000001,1260.0,1440.0,28.0,33.0
University of California Riverside,49788,0.5670000000000001,1130.0,1340.0,24.0,30.0
University of Minnesota—​Twin Cities,40673,0.5670000000000001,1260.0,1480.0,26.0,31.0
Hobart and William Smith Colleges,4526,0.569,1203.0,1360.0,27.0,30.0
Abilene Christian University,11569,0.57,1040.0,1230.0,21.0,27.0
Bennington College,1494,0.57,1230.0,1390.0,28.0,32.0
Birmingham-​Southern College,3628,0.57,1040.0,1250.0,22.0,28.0
Fairfield University,12315,0.5710000000000001,1210.0,1350.0,26.0,30.0
Georgia State,19838,0.574,990.0,1190.0,21.0,26.0
Texas A&M University—​College Station,42899,0.575,1160.0,1390.0,26.0,31.0
Saint Louis University,15120,0.575,1180.0,1370.0,25.0,31.0
St. John's College Annapolis,913,0.5760000000000001,1210.0,1450.0,24.0,33.0
Lake Forest College,4147,0.579,1110.0,1310.0,23.0,29.0
Kennesaw State University,13427,0.579,1080.0,1270.0,21.0,26.0
California State University--Fresno,18122,0.579,950.0,1130.0,16.0,22.0
Rollins College,6167,0.583,1160.0,1340.0,24.0,30.0
University of Hawaii at Manoa,16244,0.584,1070.0,1270.0,21.0,26.0
University of Denver,21028,0.5870000000000001,1170.0,1350.0,26.0,31.0
Hampden-​Sydney College,3240,0.59,1050.0,1250.0,21.0,27.0
University of Illinois—​Urbana-​Champaign,43509,0.59,1220.0,1480.0,27.0,33.0
Millsaps College,4161,0.593,1080.0,1260.0,22.0,28.0
California State University--Northridge,30637,0.593,910.0,1130.0,16.0,22.0
Clark University,7687,0.594,1200.0,1390.0,28.0,31.0
Lipscomb University,3638,0.595,1060.0,1320.0,22.0,29.0
Virginia Military Institute,1515,0.595,1090.0,1270.0,21.0,28.0
Purdue University—​West Lafayette,54912,0.598,1190.0,1440.0,25.0,32.0
Temple University,35599,0.6,1120.0,1320.0,24.0,30.0
Rutgers The State University of New Jersey—​New Brunswick,41348,0.601,1190.0,1410.0,25.0,31.0
Illinois Institute of Technology,5049,0.602,1190.0,1400.0,26.0,32.0
Yeshiva University,1508,0.603,1140.0,1400.0,22.0,30.0
Illinois Wesleyan University,3719,0.608,1120.0,1320.0,24.0,29.0
Furman University,5469,0.611,1230.0,1410.0,28.0,32.0
University at Buffalo—​SUNY,29900,0.611,1160.0,1340.0,24.0,29.0
Concordia College—​Moorhead,4160,0.612,1080.0,1368.0,21.0,27.0
SUNY College of Environmental Science and Forestry,2018,0.614,1120.0,1310.0,23.0,29.0
University of Portland,14505,0.615,1160.0,1330.0,23.0,29.0
Cornell College,3118,0.618,1100.0,1345.0,23.0,29.0
Muhlenberg College,4146,0.618,1170.0,1360.0,26.0,30.0
Gonzaga University,9279,0.619,1210.0,1358.0,25.0,30.0
Beloit College,3657,0.62,1080.0,1380.0,24.0,30.0
Lawrence University,3463,0.621,1200.0,1430.0,25.0,32.0
University of Utah,24404,0.621,1142.5,1380.0,22.0,29.0
Allegheny College,5208,0.622,1170.0,1360.0,24.0,30.0
University of Delaware,27691,0.624,1170.0,1350.0,25.0,30.0
Westmont College,2937,0.624,1110.0,1370.0,23.0,30.0
Luther College,4422,0.626,1050.0,1310.0,23.0,29.0
Rutgers The State University of New Jersey—​Newark,13259,0.627,1020.0,1190.0,19.0,24.0
Earlham College,2070,0.634,1100.0,1370.0,23.0,30.0
Augustana College,6211,0.636,1070.0,1280.0,22.0,29.0
Wofford College,3522,0.636,1180.0,1350.0,27.0,30.0
New Jersey Institute of Technology,8123,0.637,1190.0,1380.0,25.0,30.0
University of Massachusetts—​Amherst,42157,0.638,1190.0,1390.0,26.0,32.0
Wabash College,1307,0.642,1120.0,1320.0,23.0,29.0
DePauw University,4935,0.644,1130.0,1360.0,23.0,30.0
Drury University,1664,0.644,1045.0,1225.0,22.0,28.0
St. John Fisher College,4720,0.645,1070.0,1260.0,21.0,26.0
University of San Francisco,18411,0.6459999999999999,1130.0,1330.0,23.0,29.0
Bard College,5141,0.6459999999999999,1248.0,1420.0,27.0,31.0
Goshen College,1278,0.647,1010.0,1210.0,21.0,29.0
Agnes Scott College,1751,0.648,1130.0,1340.0,24.0,30.0
Virginia Polytechnic Institute and State University,31936,0.648,1180.0,1390.0,25.0,31.0
University of Houston,25393,0.65,1140.0,1310.0,22.0,27.0
University of North Carolina—​Charlotte,21867,0.65,1120.0,1290.0,22.0,26.0
Truman State University,4568,0.653,1080.0,1358.0,24.0,30.0
University of North Carolina—​Wilmington,13287,0.655,1170.0,1320.0,22.0,27.0
SUNY—​Geneseo,10433,0.655,1120.0,1310.0,23.0,28.0
Embry-​Riddle Aeronautical University,6017,0.655,1110.0,1320.0,22.0,29.0
University of the Pacific,13096,0.6559999999999999,1130.0,1360.0,23.0,31.0
Rochester Institute of Technology,18948,0.66,1200.0,1400.0,27.0,32.0
Berry College,3970,0.6609999999999999,1110.0,1310.0,23.0,29.0
Mississippi State University,18269,0.6629999999999999,1070.0,1280.0,22.0,30.0
Sewanee—​University of the South,3545,0.667,1150.0,1340.0,25.0,30.0
Hanover College,7795,0.669,1078.0,1300.0,22.0,28.0
Coe College,7795,0.669,1078.0,1300.0,22.0,28.0
Randolph-​Macon College,2907,0.6709999999999999,1020.0,1240.0,20.0,27.0
Loyola University Chicago,25583,0.672,1140.0,1320.0,25.0,30.0
University of Vermont,19233,0.6729999999999999,1180.0,1360.0,26.0,31.0
San Francisco State University,34629,0.6729999999999999,940.0,1150.0,17.0,23.0
Brigham Young University—​Provo,10500,0.675,1210.0,1420.0,26.0,31.0
Drake University,6944,0.6759999999999999,1100.0,1370.0,24.0,31.0
Stonehill College,6961,0.677,1120.0,1290.0,24.0,28.5
Elmhurst College,4175,0.6779999999999999,990.0,1210.0,20.0,26.0
Taylor University,2341,0.6809999999999999,1080.0,1310.0,22.0,28.0
DePaul University,26895,0.682,1070.0,1290.0,,
Knox College,3397,0.6829999999999999,1090.0,1350.0,24.0,31.0
Hofstra University,24425,0.685,1160.0,1340.0,25.0,30.0
Ithaca College,15278,0.685,1160.0,1338.0,25.0,30.0
California State University--San Bernardino,16307,0.6859999999999999,910.0,1090.0,15.0,19.0
University of South Carolina,31268,0.6859999999999999,1180.0,1370.0,25.0,31.0
Albion College,4043,0.688,990.0,1200.0,21.0,27.0
Presbyterian College (SC),2462,0.688,1010.0,1210.0,19.0,25.0
Texas Tech University,25384,0.6890000000000001,1070.0,1260.0,22.0,27.0
Ohio Wesleyan University,4705,0.69,1060.0,1295.0,22.0,28.0
Ripon College,2619,0.69,1000.0,1210.0,20.0,27.0
Drew University,3788,0.6920000000000001,1110.0,1310.0,25.0,30.0
Gustavus Adolphus College,4957,0.6920000000000001,,,25.0,30.0
Central Michigan,16411,0.695,990.0,1200.0,20.0,26.0
Oklahoma State University,15277,0.7,1040.0,1265.0,21.0,28.0
Bradley University,10708,0.7020000000000001,1070.0,1270.0,22.0,28.0
Seton Hall University,19260,0.7040000000000001,1150.0,1310.0,24.0,28.0
Biola University,4149,0.705,1080.0,1310.0,21.0,28.0
Ursinus College,3361,0.7090000000000001,1140.0,1320.0,23.0,28.0
Montclair State,14324,0.7090000000000001,990.0,1170.0,,
Clarkson University,6885,0.711,1160.0,1350.0,24.0,30.0
Michigan State University,44322,0.711,1100.0,1320.0,23.0,29.0
Hollins University,3244,0.7120000000000001,1070.0,1300.0,22.0,30.0
Creighton University,10112,0.7140000000000001,1150.0,1350.0,24.0,30.0
California Lutheran University,5752,0.715,1070.0,1250.0,21.0,26.0
University of Mary Washington,5909,0.718,1050.0,1269.0,22.0,29.0
Christopher Newport University,7204,0.7190000000000001,1110.0,1280.0,22.0,27.0
University of California—Merced,25368,0.72,980.0,1180.0,17.0,22.0
Mercer University,5454,0.72,1180.0,1340.0,25.0,30.0
University of Dayton,17462,0.72,1120.0,1320.0,23.0,29.0
Lewis & Clark College,5863,0.722,1220.0,1400.0,27.0,31.0
Hendrix College,1545,0.722,1153.0,1390.0,26.0,32.0
University of Rhode Island,21259,0.723,1012.0,1345.0,20.0,29.0
California State University--Chico,25908,0.723,990.0,1180.0,18.0,24.0
Stetson University,13005,0.7240000000000001,1110.0,1300.0,22.0,29.0
Quinnipiac University,22753,0.725,1090.0,1260.0,23.0,28.0
Duquesne University,7411,0.725,1130.0,1300.0,23.0,28.0
University of Illinois—​Chicago,22696,0.727,1030.0,1260.0,21.0,28.0
University of Akron,14553,0.73,990.0,1230.0,19.0,25.0
St. John's University (NY),27276,0.731,1070.0,1270.0,23.0,29.0
University of Cincinnati,23296,0.731,1160.0,1370.0,24.0,29.0
Simmons University,2933,0.731,1110.0,1290.0,23.0,29.0
Wayne State University,15716,0.731,1010.0,1230.0,21.0,27.0
Butler University,14891,0.732,1150.0,1330.0,24.0,30.0
Point Loma Nazarene University,3277,0.737,1140.0,1310.0,24.0,29.0
University of North Texas,21540,0.737,1060.0,1250.0,20.0,26.0
University of North Georgia,6498,0.737,1108.0,1273.0,22.0,27.0
Xavier University,15100,0.738,1070.0,1250.0,22.0,28.0
Wheaton College (MA),3460,0.7390000000000001,1150.0,1340.0,27.0,32.0
Eastern Michigan,14323,0.741,970.0,1190.0,19.0,25.0
University of Washington--Bothell,4242,0.741,1038.0,1250.0,19.0,28.0
Adelphi University,13006,0.742,1080.0,1270.0,22.0,27.0
Baldwin Wallace University,3926,0.742,1030.0,1250.0,21.0,27.0
Michigan Technological University,5978,0.743,1170.0,1370.0,25.0,30.0
Drexel University,31824,0.747,1190.0,1390.0,25.0,31.0
University of Redlands,4713,0.75,1100.0,1250.0,23.0,28.0
Loyola University New Orleans,5857,0.75,1050.0,1260.0,22.0,28.0
California State University--Monterey Bay,12327,0.753,960.0,1170.0,17.0,23.0
Whittier College,6220,0.759,1030.0,1213.0,20.0,25.0
Kalamazoo College,3576,0.76,1170.0,1370.0,25.0,31.0
Towson University,12678,0.763,1060.0,1220.0,20.0,25.0
Centre College,2212,0.764,1130.0,1380.0,26.0,32.0
University of Texas San Antonio,17122,0.7659999999999999,1030.0,1220.0,19.0,25.0
Ball State,23305,0.767,,,,
James Madison University,23578,0.768,1120.0,1290.0,23.0,28.0
Appalachian State University,16664,0.768,1100.0,1270.0,22.0,28.0
Indiana University—​Bloomington,44169,0.769,1150.0,1360.0,24.0,31.0
High Point University,10098,0.769,1090.0,1250.0,22.0,27.0
Virginia Commonwealth University,18622,0.7709999999999999,1070.0,1260.0,21.0,28.0
University of Arkansas—​Fayetteville,17913,0.7709999999999999,1120.0,1300.0,23.0,30.0
John Brown University,1094,0.7709999999999999,1060.0,1365.0,23.0,30.0
University of Idaho,8071,0.778,1010.0,1240.0,20.0,27.0
University of Missouri,18948,0.778,1090.0,1290.0,23.0,29.0
Willamette University,3972,0.779,1140.0,1340.0,31.0,35.0
University of Nebraska—​Lincoln,16829,0.782,1120.0,1360.0,22.0,28.0
Carroll College,2709,0.7829999999999999,1070.0,1270.0,22.0,28.0
College of Charleston,11783,0.7829999999999999,1080.0,1260.0,22.0,28.0
University of Colorado—​Boulder,40740,0.784,1140.0,1350.0,25.0,31.0
Elon University,10500,0.784,1160.0,1320.0,25.0,30.0
Seattle University,7968,0.785,1160.0,1330.0,24.0,30.0
University of Texas—​Dallas,14327,0.7859999999999999,1240.0,1460.0,26.0,33.0
East Carolina,19234,0.787,1030.0,1190.0,19.0,24.0
University of Tennessee,21764,0.7879999999999999,1150.0,1330.0,24.0,30.0
University of Texas Arlington,12335,0.795,1060.0,1260.0,20.0,26.0
Pacific Lutheran University,3740,0.7979999999999999,1070.0,1270.0,20.0,28.0
Western Michigan,17698,0.799,1000.0,1210.0,19.0,26.0
Loyola University Maryland,10077,0.802,1143.0,1320.0,25.0,30.0
Miami University—​Oxford,28920,0.804,1210.0,1410.0,26.0,31.0
Goucher College,3154,0.804,1040.0,1290.0,22.0,29.0
University of Oklahoma,15673,0.804,1130.0,1310.0,23.0,29.0
Auburn University,20205,0.807,1150.0,1320.0,25.0,31.0
University of Nevada—​Las Vegas,12720,0.807,1030.0,1250.0,19.0,25.0
Boise State,10788,0.8079999999999999,960.0,1180.0,21.0,26.0
St. Mary's College of California,6069,0.81,1070.0,1240.0,22.0,28.0
Siena College,7728,0.8109999999999999,1070.0,1280.0,22.0,28.0
University of North Dakota,4964,0.8109999999999999,1010.0,1250.0,20.0,26.0
Texas State University,23583,0.8109999999999999,1010.0,1180.0,19.3,25.3
Colorado State University,28319,0.8140000000000001,1070.0,1290.0,23.0,29.0
University of Memphis,15381,0.8140000000000001,1010.0,1230.0,19.0,26.0
West Virginia University,18639,0.816,1050.0,1240.0,21.0,27.0
University of Oregon,27358,0.816,1100.0,1310.0,22.0,28.0
University of St. Thomas (MN),6819,0.8190000000000001,1130.0,1380.0,24.0,29.0
St. Mary's College (IN),1862,0.8190000000000001,1050.0,1260.0,22.0,28.0
Illinois State,16151,0.8190000000000001,1020.0,1220.0,20.0,26.0
Ohio University,24179,0.821,1050.0,1260.0,21.0,26.0
California State University--Sacramento,27576,0.823,940.0,1140.0,16.0,22.0
University of North Carolina—​Greensboro,9972,0.8240000000000001,1000.0,1160.0,19.0,24.0
University of Iowa,25928,0.826,1130.0,1340.0,22.0,29.0
St. Michael's College,4040,0.826,1140.0,1320.0,25.0,29.0
University of Alaska Anchorage,3673,0.83,1020.0,1220.0,17.0,24.0
Marquette University,15078,0.83,1120.0,1320.0,24.0,29.0
College of St. Benedict,1931,0.8340000000000001,990.0,1210.0,22.0,27.0
Oregon State University,15786,0.836,1080.0,1320.0,21.0,28.0
The Catholic University of America,6096,0.8370000000000001,1140.0,1320.0,24.0,30.0
University of Puget Sound,5182,0.838,1150.0,1370.0,25.0,30.0
University of New Hampshire,18040,0.84,1070.0,1270.0,22.0,28.0
Missouri University of Science & Technology,4333,0.8420000000000001,1180.0,1380.0,25.0,31.0
St. Mary's College of Maryland,1621,0.843,1060.0,1290.0,21.0,29.0
University of Arizona,40854,0.846,1120.0,1350.0,21.0,29.0
Susquehanna University,4863,0.848,1100.0,1290.0,22.0,28.0
Arizona State University—​Tempe,26869,0.848,1130.0,1360.0,22.0,29.0
Wheaton College (IL),1889,0.848,1220.0,1440.0,26.0,32.0
Northern Arizona,36855,0.85,1030.0,1230.0,19.0,25.0
Washington and Jefferson College,2722,0.852,1090.0,1280.0,22.0,28.0
Kent State,16308,0.855,1040.0,1230.0,20.0,26.0
Mills College,1003,0.855,1008.0,1240.0,21.0,29.0
Hope College,3748,0.857,1130.0,1330.0,23.0,31.0
Valparaiso University,5491,0.858,1070.0,1290.0,22.0,29.0
George Mason University,19554,0.867,1110.0,1320.0,24.0,30.0
Old Dominion,13335,0.87,990.0,1200.0,18.0,24.0
Missouri State,7581,0.879,1040.0,1240.0,21.0,27.0
University of Wisconsin Milwaukee,8280,0.885,1000.0,1398.0,20.0,25.0
Transylvania University,1702,0.887,1100.0,1310.0,24.0,30.0
Weber State,6853,0.8909999999999999,,,18.0,24.0
University of Maine,13118,0.902,1050.0,1260.0,21.0,27.0
Humboldt State University,16335,0.909,980.0,1190.0,17.0,25.0
Utah State,15276,0.91,1050.0,1310.0,21.0,28.0
Iowa State University,18246,0.9209999999999999,1100.0,1340.0,22.0,28.0
Washington College,2225,0.924,1090.0,1300.0,20.0,29.0
University of Montana,6182,0.9259999999999999,1060.0,1270.0,21.0,26.0
Samford University,3912,0.929,1070.0,1250.0,23.0,29.0
University of Kansas,15093,0.9309999999999999,,,23.0,29.0
University of Kentucky,19324,0.945,1080.0,1300.0,23.0,29.0
University of Toledo,10228,0.951,1000.0,1240.0,20.0,26.0
Kansas State University,8140,0.9570000000000001,,,22.0,28.0
Portland State,7821,0.961,1010.0,1230.0,18.0,25.0
Queens University of Charlotte,2319,0.9620000000000001,1040.0,1240.0,21.0,27.0
Western Kentucky,8245,0.973,990.0,1220.0,19.0,27.0
United States Naval Academy,16332,0.083,1240.0,1520.0,27.0,32.0
United States Military Academy,11675,0.10300000000000001,1160.0,1380.0,25.0,30.0
United States Air Force Academy,10354,0.111,1230.0,1440.0,28.0,33.0
United States Coast Guard Academy,2274,0.128,1245.0,1420.0,26.0,31.0
United States Merchant Maritime Academy,1693,0.248,1200.0,1340.0,25.0,31.0
Howard University,20946,0.316,1140.0,1285.0,22.0,27.0
Florida State University,58936,0.36,1200.0,1340.0,26.0,30.0
Hillsdale College,2208,0.36,1275.0,1465.0,29.0,32.0
University of Central Florida,35240,0.382,1160.0,1340.0,25.0,29.0
University of Florida,38905,0.38799999999999996,1280.0,1440.0,27.0,32.0
University of South Florida,36986,0.47700000000000004,1170.0,1330.0,25.0,29.0
Gallaudet University,496,0.5710000000000001,793.0,1078.0,15.0,20.0
Florida International,18492,0.575,1240.0,1300.0,23.0,28.0
